city_name,district_name,commune_name
Mondul Kiri,Kaoh Nheaek,A Buon Leu
Kampong Thom,Stueng Saen,Achar Leak
Ratanak Kiri,Ou Chum,Aekakpheap
Kampong Chhnang,Tuek Phos,Akphivoadth
Kandal,Lvea Aem,Akreiy Ksatr
Kampong Speu,Thpong,Amleang
Kampong Cham,Kampong Siem,Ampil
Siemreap,Siem Reap,Ampil
Svay Rieng,Romeas Haek,Ampil
Oddar Meanchey,Banteay Ampil,Ampil
Prey Veng,Sithor Kandal,Ampil Krau
Battambang,Bavel,Ampil Pram Daeum
Tboung Khmum,Ou Reang Ov,Ampil Ta Pok
Kampong Chhnang,Kampong Tralach,Ampil Tuek
Kandal,Kandal Stueng,Ampov Prey
Battambang,Rotonak Mondol,Andaeuk Haeb
Kampot,Kampot,Andoung Khmer
Kampong Thom,Baray,Andoung Pou
Svay Rieng,Romeas Haek,Andoung Pou
Kampong Chhnang,Rolea B'ier,Andoung Snay
Preah Sihanouk,Prey Nob,Andoung Thma
Svay Rieng,Romeas Haek,Andoung Trabaek
Koh Kong,Botum Sakor,Andoung Tuek
Kampot,Kampong Trach,Ang Sophy
Takeo,Treang,Angk Kaev
Takeo,Treang,Angk Khnor
Kampot,Angkor Chey,Angk Phnum Touch
Kampong Speu,Kong Pisei,Angk Popel
Takeo,Kiri Vong,Angk Prasat
Svay Rieng,Romeas Haek,Angk Prasrae
Kampot,Dang Tong,Angk Romeas
Takeo,Tram Kak,Angk Ta Saom
Svay Rieng,Svay Chrum,Angk Ta Sou
Takeo,Prey Kabbas,Angkanh
Takeo,Treang,Angkanh
Kep,Damnak Chang'aeur,Angkaol
Prey Veng,Peam Chor,Angkor Angk
Battambang,Sampov Lun,Angkor Ban
Kampong Cham,Kang Meas,Angkor Ban
Takeo,Angkor Borei,Angkor Borei
Prey Veng,Preah Sdach,Angkor Reach
Prey Veng,Me Sang,Angkor Sar
Prey Veng,Svay Antor,Angkor Tret
Tboung Khmum,Tboung Khmum,Anhchaeum
Kampong Chhnang,Baribour,Anhchanh Rung
Kampot,Angkor Chey,Ankor Chey
Stung Treng,Thala Barivat,Anlong Chrey
Stung Treng,Thala Barivat,Anlong Phe
Pursat,Veal Veaeng,Anlong Reab
Kandal,Kandal Stueng,Anlong Romiet
Battambang,Thma Koul,Anlong Run
Siemreap,Chi Kraeng,Anlong Samnar
Pursat,Krakor,Anlong Tnaot
Oddar Meanchey,Anlong Veaeng,Anlong Veaeng
Battambang,Sangkae,Anlong Vil
Pursat,Kandieng,Anlong Vil
Pursat,Krakor,Ansa Chambak
Prey Veng,Kampong Trabaek,Ansaong
Kampong Cham,Stueng Trang,Areaks Tnot
Kampong Chhnang,Kampong Chhnang,B'er
Prey Veng,Peam Ro,Ba Baong
Takeo,Angkor Borei,Ba Srae
Ratanak Kiri,Lumphat,Ba Tang
Kandal,Angk Snuol,Baek Chan
Oddar Meanchey,Trapeang Prasat,Bak Anloung
Pursat,Phnum Kravanh,Bak Chenhchien
Kandal,Khsach Kandal,Bak Dav
Phnom Penh,Chraoy Chongvar,Bak Kaeng
Kampong Thom,Baray,Bak Sna
Siemreap,Prasat Bakong,Bakong
Kampong Thom,Baray,Ballangk
Siemreap,Prasat Bakong,Ballangk
Takeo,Prey Kabbas,Ban Kam
Kampot,Chhuk,Baniev
Prey Veng,Peam Ro,Banlich Prasat
Oddar Meanchey,Samraong,Bansay Reak
Battambang,Thma Koul,Bansay Traeng
Prey Veng,Preah Sdach,Banteay Chakrei
Banteay Meanchey,Thma Puok,Banteay Chhmar
Kandal,Kien Svay,Banteay Daek
Pursat,Pursat,Banteay Dei
Svay Rieng,Kampong Rou,Banteay Krang
Kampot,Banteay Meas,Banteay Meas Khang Kaeut
Kampot,Banteay Meas,Banteay Meas Khang Lech
Banteay Meanchey,Mongkol Borei,Banteay Neang
Kampong Chhnang,Rolea B'ier,Banteay Preal
Kampong Thom,Stoung,Banteay Stoung
Ratanak Kiri,Ou Ya Dav,Bar Kham
Pailin,Pailin,Bar Yakha
Battambang,Phnum Proek,Barang Thleak
Kampong Cham,Prey Chhor,Baray
Kampong Cham,Srei Santhor,Baray
Kampong Thom,Baray,Baray
Prey Veng,Prey Veng,Baray
Takeo,Doun Kaev,Baray
Kandal,Kandal Stueng,Barku
Kandal,Lvea Aem,Barong
Battambang,Rukh Kiri,Basak
Svay Rieng,Svay Chrum,Basak
Kampong Speu,Basedth,Basedth
Banteay Meanchey,Mongkol Borei,Bat Trang
Kampong Cham,Batheay,Batheay
Svay Rieng,Bavet,Bati
Battambang,Bavel,Bavel
Svay Rieng,Bavet,Bavet
Battambang,Banan,Bay Damram
Preah Sihanouk,Preah Sihanouk,Bei
Oddar Meanchey,Banteay Ampil,Beng
Preah Sihanouk,Prey Nob,Bet Trang
Kampong Thom,Baray,Boeng
Pursat,Bakan,Boeng Bat Kandaol
Banteay Meanchey,Malai,Boeng Beng
Kratie,Sambour,Boeng Char
Prey Veng,Preah Sdach,Boeng Daol
Phnom Penh,Tuol Kouk,Boeng Kak Ti Muoy
Phnom Penh,Tuol Kouk,Boeng Kak Ti Pir
Ratanak Kiri,Ban Lung,Boeng Kansaeng
Pursat,Krakor,Boeng Kantuot
Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Bei
Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Muoy
Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Pir
Pursat,Bakan,Boeng Khnar
Kandal,Kandal Stueng,Boeng Khyang
Kampong Cham,Kampong Cham,Boeng Kok
Kandal,Lvea Aem,Boeng Krum
Kampong Thom,Santuk,Boeng Lvea
Siemreap,Svay Leu,Boeng Mealea
Kampong Cham,Prey Chhor,Boeng Nay
Kampot,Chhuk,Boeng Nimol
Prey Veng,Ba Phnum,Boeng Preah
Koh Kong,Srae Ambel,Boeng Preav
Battambang,Thma Koul,Boeng Pring
Phnom Penh,Prampir Meakkakra,Boeng Proluet
Tboung Khmum,Tboung Khmum,Boeng Pruol
Battambang,Kamrieng,Boeng Reang
Phnom Penh,Doun Penh,Boeng Reang
Kampot,Kampong Trach,Boeng Sala Khang Cheung
Kampot,Kampong Trach,Boeng Sala Khang Tboung
Phnom Penh,Tuol Kouk,Boeng Salang
Preah Sihanouk,Prey Nob,Boeng Ta Prum
Phnom Penh,Pur SenChey,Boeng Thum
Phnom Penh,Chamkar Mon,Boeng Trabaek
Takeo,Samraong,Boeng Tranh Khang Cheung
Takeo,Samraong,Boeng Tranh Khang Tboung
Kampot,Tuek Chhou,Boeng Tuk
Phnom Penh,Mean Chey,Boeng Tumpun
Battambang,Bavel,Boeung Pram
Takeo,Borei Cholsar,Borei Cholsar
Kampong Cham,Chamkar Leu,Bos Khnor
Kratie,Chetr Borei,Bos Leav
Svay Rieng,Rumduol,Bos Mon
Banteay Meanchey,Preah Netr Preah,Bos Sbov
